Type,Name
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
apic,Cell_A[1].apic[0](0.907407)
soma,Cell_A[1].soma[0](0.5)
soma,Cell_A[1].soma[0](0.5)
soma,Cell_A[1].soma[0](0.5)
soma,Cell_A[1].soma[0](0.5)
soma,Cell_A[1].soma[0](0.5)
soma,Cell_A[1].soma[0](0.5)
apic,Cell_A[1].apic[0](0.611111)
apic,Cell_A[1].apic[0](0.611111)
apic,Cell_A[1].apic[0](0.611111)
apic,Cell_A[1].apic[0](0.611111)
apic,Cell_A[1].apic[0](0.907407)
