,timestamps,node_ids,population
0,58.8000000000988,0,biophysical
1,243.20000000012104,0,biophysical
27,2207.999999999367,0,biophysical
34,3527.200000004166,0,biophysical
35,3991.900000005857,0,biophysical
57,5665.300000011945,0,biophysical
63,6970.1000000166905,0,biophysical
79,8352.200000018805,0,biophysical
101,10042.799999994204,0,biophysical
107,11419.699999974167,0,biophysical
127,12930.599999952181,0,biophysical
146,14945.899999922854,0,biophysical
161,16090.299999906201,0,biophysical
162,16362.499999902242,0,biophysical
180,17465.299999886192,0,biophysical
201,19074.89999986277,0,biophysical
210,20123.09999984752,0,biophysical
222,20796.59999983772,0,biophysical
228,21840.89999982252,0,biophysical
245,23297.29999980133,0,biophysical
259,24039.69999979052,0,biophysical
281,25351.499999771437,0,biophysical
294,26620.79999975296,0,biophysical
295,26977.299999747775,0,biophysical
301,27468.89999974062,0,biophysical
311,27686.999999737447,0,biophysical
319,28385.499999727286,0,biophysical
347,30435.399999697453,0,biophysical
356,31671.299999679468,0,biophysical
361,32219.699999671488,0,biophysical
371,32722.49999966417,0,biophysical
380,34205.199999747165,0,biophysical
395,35939.39999984811,0,biophysical
411,37475.49999993752,0,biophysical
423,38921.30000002168,0,biophysical
427,39330.00000004547,0,biophysical
