,timestamps,node_ids,population
0,16.800000000100102,0,biophysical
1,28410.599999726917,6,biophysical
2,28371.199999727487,6,biophysical
3,28331.799999728068,6,biophysical
4,28292.499999728636,6,biophysical
5,28253.29999972921,6,biophysical
6,28213.999999729782,6,biophysical
7,28174.399999730358,6,biophysical
8,28133.499999730953,6,biophysical
9,28036.399999732363,6,biophysical
10,28023.699999732547,6,biophysical
11,28011.499999732725,6,biophysical
12,28036.399999732363,5,biophysical
13,28023.59999973255,5,biophysical
14,28011.599999732724,5,biophysical
15,28449.89999972634,6,biophysical
16,28010.99999973273,4,biophysical
17,28011.499999732725,3,biophysical
18,28023.899999732545,2,biophysical
19,28011.499999732725,2,biophysical
20,28023.899999732545,1,biophysical
21,28011.599999732724,1,biophysical
22,28023.899999732545,0,biophysical
23,28011.499999732725,0,biophysical
24,25870.89999976388,9,biophysical
25,25854.399999764115,9,biophysical
26,25846.899999764224,9,biophysical
27,25839.099999764338,9,biophysical
28,25831.599999764447,9,biophysical
29,25823.79999976456,9,biophysical
30,25816.199999764667,9,biophysical
31,28023.899999732545,3,biophysical
32,28489.09999972577,6,biophysical
33,28011.499999732725,7,biophysical
34,28023.699999732547,7,biophysical
35,32011.49999967452,3,biophysical
36,32023.899999674337,2,biophysical
37,32011.49999967452,2,biophysical
38,32023.899999674337,1,biophysical
39,32011.599999674523,1,biophysical
40,32023.899999674337,0,biophysical
41,32011.49999967452,0,biophysical
42,29870.899999705667,9,biophysical
43,29854.399999705907,9,biophysical
44,29846.899999706016,9,biophysical
45,29839.099999706134,9,biophysical
46,29831.599999706235,9,biophysical
47,29823.799999706356,9,biophysical
48,29816.199999706463,9,biophysical
49,29808.399999706577,9,biophysical
50,29800.89999970669,9,biophysical
51,29793.099999706803,9,biophysical
52,28036.399999732363,7,biophysical
53,28011.39999973273,8,biophysical
54,28011.39999973273,9,biophysical
55,29872.59999970564,6,biophysical
56,29752.699999707387,7,biophysical
57,29773.89999970708,7,biophysical
58,25808.399999764784,9,biophysical
59,29795.799999706764,7,biophysical
60,29838.799999706134,7,biophysical
61,29754.999999707357,9,biophysical
62,29762.599999707247,9,biophysical
63,29770.199999707133,9,biophysical
64,29777.899999707017,9,biophysical
65,29785.499999706914,9,biophysical
66,29817.39999970645,7,biophysical
67,25800.899999764893,9,biophysical
68,25793.09999976501,9,biophysical
69,25785.49999976512,9,biophysical
70,24011.499999790933,2,biophysical
71,24023.899999790752,1,biophysical
72,24011.59999979093,1,biophysical
73,24023.899999790752,0,biophysical
74,24011.499999790933,0,biophysical
75,21870.89999982208,9,biophysical
76,21854.399999822323,9,biophysical
77,21846.89999982243,9,biophysical
78,21839.099999822545,9,biophysical
79,21831.59999982265,9,biophysical
80,21823.799999822768,9,biophysical
81,21816.199999822882,9,biophysical
82,21808.399999822992,9,biophysical
83,21800.8999998231,9,biophysical
84,21793.099999823215,9,biophysical
85,21785.499999823325,9,biophysical
86,21777.89999982344,9,biophysical
87,20011.49999984914,7,biophysical
88,20023.699999848966,7,biophysical
89,20036.399999848778,7,biophysical
90,20011.39999984914,8,biophysical
91,20011.39999984914,9,biophysical
92,21872.599999822054,6,biophysical
93,24023.899999790752,2,biophysical
94,21752.699999823803,7,biophysical
95,21795.79999982317,7,biophysical
96,21817.399999822857,7,biophysical
97,21838.79999982255,7,biophysical
98,21754.99999982377,9,biophysical
99,21762.59999982366,9,biophysical
100,21770.199999823548,9,biophysical
101,21773.89999982349,7,biophysical
102,32023.899999674337,3,biophysical
103,24011.499999790933,3,biophysical
104,24010.999999790944,4,biophysical
105,25777.899999765228,9,biophysical
106,25770.19999976534,9,biophysical
107,25762.59999976545,9,biophysical
108,25754.99999976556,9,biophysical
109,25838.799999764346,7,biophysical
110,25817.399999764653,7,biophysical
111,25795.799999764964,7,biophysical
112,25773.899999765286,7,biophysical
113,25752.699999765595,7,biophysical
114,25872.599999763846,6,biophysical
115,24011.399999790934,9,biophysical
116,24011.399999790934,8,biophysical
117,24036.399999790567,7,biophysical
118,24023.699999790755,7,biophysical
119,24011.499999790933,7,biophysical
120,24489.099999783983,6,biophysical
121,24449.899999784557,6,biophysical
122,24011.59999979093,5,biophysical
123,24023.59999979076,5,biophysical
124,24036.399999790567,5,biophysical
125,24011.499999790933,6,biophysical
126,24023.699999790755,6,biophysical
127,24036.399999790567,6,biophysical
128,24023.899999790752,3,biophysical
129,24133.49999978916,6,biophysical
130,24213.999999787982,6,biophysical
131,24253.29999978741,6,biophysical
132,24292.499999786847,6,biophysical
133,24331.799999786268,6,biophysical
134,24371.1999997857,6,biophysical
135,24410.59999978512,6,biophysical
136,24174.39999978856,6,biophysical
137,32010.999999674525,4,biophysical
138,32011.599999674523,5,biophysical
139,32023.599999674338,5,biophysical
140,40011.600000085135,5,biophysical
141,40011.000000085114,4,biophysical
142,40023.900000085865,3,biophysical
143,40011.500000085136,3,biophysical
144,40023.900000085865,2,biophysical
145,40011.500000085136,2,biophysical
146,40023.900000085865,1,biophysical
147,40011.600000085135,1,biophysical
148,40023.900000085865,0,biophysical
149,40011.500000085136,0,biophysical
150,37870.89999996054,9,biophysical
151,37854.399999959576,9,biophysical
152,37846.89999995913,9,biophysical
153,37839.099999958686,9,biophysical
154,37831.59999995825,9,biophysical
155,37823.799999957795,9,biophysical
156,37816.199999957345,9,biophysical
157,37872.59999996064,6,biophysical
158,37752.699999953664,7,biophysical
159,37773.89999995489,7,biophysical
160,37795.799999956165,7,biophysical
161,37817.399999957415,7,biophysical
162,37838.79999995867,7,biophysical
163,40023.60000008584,5,biophysical
164,37754.99999995379,9,biophysical
165,37770.199999954675,9,biophysical
166,37777.899999955116,9,biophysical
167,37785.499999955566,9,biophysical
168,37793.09999995601,9,biophysical
169,37800.89999995646,9,biophysical
170,37808.3999999569,9,biophysical
171,37762.59999995423,9,biophysical
172,36011.3999998523,9,biophysical
173,40036.400000086585,5,biophysical
174,40023.700000085846,6,biophysical
175,40505.10000011387,7,biophysical
176,40498.000000113454,9,biophysical
177,40490.90000011304,9,biophysical
178,40483.50000011261,9,biophysical
179,40476.5000001122,9,biophysical
180,40469.100000111765,9,biophysical
181,40462.100000111364,9,biophysical
182,40454.80000011094,9,biophysical
183,40447.700000110526,9,biophysical
184,40440.500000110114,9,biophysical
185,40433.100000109676,9,biophysical
186,40425.700000109246,9,biophysical
187,40417.60000010877,9,biophysical
188,40011.40000008513,9,biophysical
189,40011.40000008513,8,biophysical
190,40484.20000011265,7,biophysical
191,40463.60000011145,7,biophysical
192,40036.400000086585,6,biophysical
193,40133.50000009224,6,biophysical
194,40174.40000009462,6,biophysical
195,40214.000000096916,6,biophysical
196,40253.30000009921,6,biophysical
197,40292.6000001015,6,biophysical
198,40011.500000085136,6,biophysical
199,40332.00000010379,6,biophysical
200,40011.500000085136,7,biophysical
201,40023.700000085846,7,biophysical
202,40036.400000086585,7,biophysical
203,40402.10000010787,7,biophysical
204,40422.600000109065,7,biophysical
205,40443.100000110266,7,biophysical
206,40371.40000010609,6,biophysical
207,20489.09999984219,6,biophysical
208,36011.3999998523,8,biophysical
209,36023.699999853015,7,biophysical
210,33793.099999723185,9,biophysical
211,33785.499999722735,9,biophysical
212,33777.899999722285,9,biophysical
213,33770.199999721845,9,biophysical
214,33762.5999997214,9,biophysical
215,33754.99999972096,9,biophysical
216,33838.79999972584,7,biophysical
217,33817.39999972459,7,biophysical
218,33795.79999972333,7,biophysical
219,33773.89999972206,7,biophysical
220,33752.699999720826,7,biophysical
221,33872.599999727805,6,biophysical
222,32011.399999674515,9,biophysical
223,32011.399999674515,8,biophysical
224,32036.399999674155,7,biophysical
225,32023.699999674336,7,biophysical
226,32011.49999967452,7,biophysical
227,32036.399999674155,5,biophysical
228,32011.49999967452,6,biophysical
229,32023.699999674336,6,biophysical
230,32036.399999674155,6,biophysical
231,32133.499999672746,6,biophysical
232,32174.399999672147,6,biophysical
233,33800.89999972363,9,biophysical
234,32213.999999671567,6,biophysical
235,32292.49999967043,6,biophysical
236,32331.79999966986,6,biophysical
237,32371.199999669283,6,biophysical
238,32410.59999966871,6,biophysical
239,32449.899999668134,6,biophysical
240,32489.099999667567,6,biophysical
241,32253.299999671002,6,biophysical
242,36036.39999985376,7,biophysical
243,33808.39999972407,9,biophysical
244,33823.799999724964,9,biophysical
245,36011.499999852305,7,biophysical
246,36489.19999988011,6,biophysical
247,36450.09999987784,6,biophysical
248,36410.799999875555,6,biophysical
249,36371.39999987325,6,biophysical
250,36331.99999987096,6,biophysical
251,36292.59999986867,6,biophysical
252,36253.29999986638,6,biophysical
253,36213.999999864085,6,biophysical
254,36174.39999986179,6,biophysical
255,36133.499999859414,6,biophysical
256,36036.39999985376,6,biophysical
257,36023.699999853015,6,biophysical
258,36011.499999852305,6,biophysical
259,36036.39999985376,5,biophysical
260,36023.59999985301,5,biophysical
261,36011.59999985231,5,biophysical
262,33831.59999972542,9,biophysical
263,33839.09999972585,9,biophysical
264,33846.899999726316,9,biophysical
265,33854.399999726746,9,biophysical
266,33870.899999727706,9,biophysical
267,36011.499999852305,0,biophysical
268,33816.199999724515,9,biophysical
269,36023.899999853034,0,biophysical
270,36023.899999853034,1,biophysical
271,36011.499999852305,2,biophysical
272,36023.899999853034,2,biophysical
273,36011.499999852305,3,biophysical
274,36023.899999853034,3,biophysical
275,36010.99999985228,4,biophysical
276,36011.59999985231,1,biophysical
277,40505.10000011387,9,biophysical
278,20449.899999842757,6,biophysical
279,20371.199999843902,6,biophysical
280,5854.400000012633,9,biophysical
281,5846.900000012605,9,biophysical
282,5839.100000012577,9,biophysical
283,5831.6000000125505,9,biophysical
284,5823.800000012521,9,biophysical
285,5816.200000012494,9,biophysical
286,5808.400000012464,9,biophysical
287,5800.900000012438,9,biophysical
288,5793.1000000124095,9,biophysical
289,5785.500000012382,9,biophysical
290,5777.900000012353,9,biophysical
291,5770.200000012325,9,biophysical
292,5762.600000012299,9,biophysical
293,5755.000000012271,9,biophysical
294,5870.9000000126925,9,biophysical
295,5838.800000012576,7,biophysical
296,5795.800000012419,7,biophysical
297,5773.90000001234,7,biophysical
298,5752.700000012263,7,biophysical
299,5872.600000012699,6,biophysical
300,4011.4000000059277,9,biophysical
301,4011.4000000059277,8,biophysical
302,4036.4000000060187,7,biophysical
303,4023.700000005973,7,biophysical
304,4011.5000000059276,7,biophysical
305,4489.300000007666,6,biophysical
306,4450.100000007524,6,biophysical
307,4410.800000007381,6,biophysical
308,4371.4000000072365,6,biophysical
309,4332.000000007094,6,biophysical
310,5817.400000012498,7,biophysical
311,8011.50000002048,0,biophysical
312,8023.900000020525,0,biophysical
313,8011.6000000204795,1,biophysical
314,9795.799999997798,7,biophysical
315,9773.899999998117,7,biophysical
316,9752.699999998424,7,biophysical
317,9872.599999996679,6,biophysical
318,8011.40000002048,9,biophysical
319,8011.40000002048,8,biophysical
320,8036.4000000205715,7,biophysical
321,8023.7000000205235,7,biophysical
322,8011.50000002048,7,biophysical
323,8489.300000016809,6,biophysical
324,8450.100000017379,6,biophysical
325,8410.800000017953,6,biophysical
326,8371.400000018526,6,biophysical
327,8332.000000019101,6,biophysical
328,8292.700000019671,6,biophysical
329,8253.500000020242,6,biophysical
330,8214.200000020814,6,biophysical
331,8023.900000020525,1,biophysical
332,8011.50000002048,2,biophysical
333,8023.900000020525,2,biophysical
334,8011.50000002048,3,biophysical
335,8023.900000020525,3,biophysical
336,8011.000000020478,4,biophysical
337,4292.700000006951,6,biophysical
338,8011.6000000204795,5,biophysical
339,8036.4000000205715,5,biophysical
340,8011.50000002048,6,biophysical
341,8023.7000000205235,6,biophysical
342,8036.4000000205715,6,biophysical
343,8133.500000020924,6,biophysical
