,timestamps,node_ids,population
0,41.50000000009978,0,biophysical
1,468.4000000001722,0,biophysical
10,640.6000000000653,0,biophysical
11,885.4999999998424,0,biophysical
12,938.1999999997943,0,biophysical
19,1430.4999999993465,0,biophysical
25,1754.3999999990522,0,biophysical
26,1783.3999999990258,0,biophysical
32,2461.100000000288,0,biophysical
41,3694.2000000047738,0,biophysical
60,4534.600000007831,0,biophysical
64,5074.900000009797,0,biophysical
69,5754.500000012269,0,biophysical
70,5782.200000012371,0,biophysical
74,6165.100000013764,0,biophysical
82,7456.300000018459,0,biophysical
89,7787.100000019665,0,biophysical
94,8042.600000020593,0,biophysical
102,8803.000000012245,0,biophysical
112,9754.399999998399,0,biophysical
113,9781.799999998002,0,biophysical
123,10538.599999986991,0,biophysical
124,10607.799999985982,0,biophysical
128,11292.199999976023,0,biophysical
131,11507.399999972893,0,biophysical
151,13754.099999940196,0,biophysical
152,13782.399999939786,0,biophysical
160,14873.999999923899,0,biophysical
197,17724.199999882425,0,biophysical
198,17756.299999881958,0,biophysical
207,18772.79999986717,0,biophysical
216,19091.599999862527,0,biophysical
218,19793.999999852305,0,biophysical
233,21058.399999833902,0,biophysical
234,21326.399999830006,0,biophysical
239,21754.499999823776,0,biophysical
240,21782.299999823368,0,biophysical
249,22802.49999980853,0,biophysical
251,23049.49999980493,0,biophysical
276,25754.299999765568,0,biophysical
277,25781.399999765177,0,biophysical
290,28447.299999726383,0,biophysical
304,29626.199999709228,0,biophysical
305,29752.099999707403,0,biophysical
314,30827.099999691756,0,biophysical
321,31412.39999968324,0,biophysical
331,32619.899999665664,0,biophysical
334,33125.69999968433,0,biophysical
337,33754.399999720925,0,biophysical
338,33782.09999972254,0,biophysical
339,33931.49999973123,0,biophysical
352,34932.19999978948,0,biophysical
359,36441.19999987732,0,biophysical
371,37167.79999991961,0,biophysical
374,37754.199999953744,0,biophysical
375,37781.79999995535,0,biophysical
376,37964.299999965966,0,biophysical
380,38398.799999991264,0,biophysical
389,40235.200000098164,0,biophysical
390,40404.400000108006,0,biophysical
391,40432.400000109636,0,biophysical
399,40535.10000011561,0,biophysical
400,40666.70000012328,0,biophysical
401,40858.60000013445,0,biophysical
434,44404.10000034082,0,biophysical
435,44432.10000034245,0,biophysical
